Date Time,Pressure,Temp A,Temp B,Temp C,Conductivity
08/16/2021,08:47:41,1022.10,21.75,21.31,21.31,
08/16/2021,08:47:41,1022.50,21.75,21.31,21.31,0.00
08/16/2021,08:47:43,1022.40,21.75,21.31,21.25,0.00
08/16/2021,08:47:44,1022.40,21.69,21.31,21.25,0.00
08/16/2021,08:47:45,1022.40,21.75,21.31,21.31,0.00
08/16/2021,08:47:46,1022.50,21.75,21.31,21.25,0.00
08/16/2021,08:47:47,1022.60,21.75,21.31,21.31,0.00
08/16/2021,08:47:48,1022.20,21.75,21.31,21.31,0.00
08/16/2021,08:47:49,1022.40,21.75,21.31,21.31,0.00
08/16/2021,08:47:50,1022.30,21.69,21.31,21.31,0.00
08/16/2021,08:47:51,1022.40,21.75,21.37,21.31,0.00
08/16/2021,08:47:52,1022.10,21.75,21.31,21.31,0.00
08/16/2021,08:47:53,1022.60,21.75,21.31,21.31,0.00
08/16/2021,08:47:53,1022.20,21.75,21.31,21.31,0.00
08/16/2021,08:47:54,1022.40,21.75,21.31,21.31,0.00
08/16/2021,08:47:55,1022.30,21.75,21.31,21.31,0.00
08/16/2021,08:47:56,1022.40,21.75,21.31,21.31,0.00
08/16/2021,08:47:57,1022.40,21.75,21.31,21.31,0.00
08/16/2021,08:47:58,1022.40,21.75,21.31,21.31,0.00
08/16/2021,08:47:59,1022.50,21.75,21.31,21.31,0.00
08/16/2021,08:48:00,1022.20,21.75,21.37,21.31,0.00
08/16/2021,08:48:01,1022.40,21.75,21.31,21.31,0.00
08/16/2021,08:48:02,1022.40,21.81,21.31,21.31,0.00
08/16/2021,08:48:03,1022.60,21.75,21.37,21.31,0.00
08/16/2021,08:48:04,1022.30,21.81,21.31,21.31,0.00
08/16/2021,08:48:05,1022.30,21.75,21.31,21.31,0.00
08/16/2021,08:48:06,1022.30,21.75,21.31,21.31,0.00
08/16/2021,08:48:07,1022.20,21.75,21.31,21.31,0.00
08/16/2021,08:48:08,1022.30,21.75,21.31,21.31,0.00
08/16/2021,08:48:09,1022.30,21.75,21.31,21.31,0.00
08/16/2021,08:48:10,1022.30,21.75,21.37,21.31,0.00
08/16/2021,08:48:11,1022.30,21.75,21.37,21.31,0.00
08/16/2021,08:48:12,1022.30,21.81,21.37,21.31,0.00
08/16/2021,08:48:13,1022.40,21.81,21.37,21.31,0.00
08/16/2021,08:48:14,1022.50,21.81,21.37,21.37,0.00
08/16/2021,08:48:15,1022.40,21.81,21.37,21.37,0.00
08/16/2021,08:48:16,1022.40,21.81,21.44,21.37,0.00
08/16/2021,08:48:17,1022.40,21.81,21.44,21.37,0.00
08/16/2021,08:48:18,1022.20,21.81,21.37,21.37,0.00
08/16/2021,08:48:19,1022.10,21.81,21.44,21.44,0.00
08/16/2021,08:48:20,1022.50,21.81,21.44,21.44,0.00
08/16/2021,08:48:21,1022.30,21.81,21.44,21.44,0.00
08/16/2021,08:48:22,1022.40,21.81,21.44,21.37,0.00
08/16/2021,08:48:23,1022.40,21.87,21.44,21.44,0.00
08/16/2021,08:48:24,1022.20,21.87,21.44,21.44,0.00
08/16/2021,08:48:25,1022.20,21.87,21.44,21.44,0.00
08/16/2021,08:48:26,1022.20,21.87,21.44,21.44,0.00
08/16/2021,08:48:27,1022.40,21.87,21.44,21.44,0.00
08/16/2021,08:48:28,1022.20,21.87,21.44,21.44,0.00
08/16/2021,08:48:29,1022.30,21.87,21.44,21.44,0.00
08/16/2021,08:48:30,1022.20,21.87,21.44,21.44,0.00
08/16/2021,08:48:31,1022.30,21.87,21.44,21.44,0.00
08/16/2021,08:48:32,1022.30,21.87,21.44,21.44,0.00
08/16/2021,08:48:33,1022.40,21.87,21.44,21.44,0.00
08/16/2021,08:48:34,1022.30,21.81,21.44,21.44,0.00
08/16/2021,08:48:35,1022.30,21.81,21.44,21.44,0.00
08/16/2021,08:48:36,1022.20,21.87,21.44,21.44,0.00
08/16/2021,08:48:37,1022.30,21.81,21.44,21.44,0.00
08/16/2021,08:48:38,1022.20,21.87,21.44,21.44,0.00
08/16/2021,08:48:39,1022.30,21.87,21.44,21.44,0.00
08/16/2021,08:48:40,1022.40,21.87,21.44,21.44,0.00
